PersonId,SalesPerson,Team,PictureUrl
1,Husein Augar,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_01.png
2,Curtice Advania,Tempo,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_02.png
3,Van Tuxwell,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_03.png
4,Marney O'Breen,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_04.png
5,Roddy Speechley,Tempo,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_05.png
6,Andria Kimpton,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_06.png
7,Rafaella Blaksland,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_07.png
8,Barr Faughny,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_08.png
9,Dotty Sturley,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_09.png
10,Kaine Padly,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_10.png
11,Oby Sorrel,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_11.png
12,Gunar Cockshoot,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_12.png
13,Keli Walkden,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_13.png
14,Karlen McCaffrey,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_14.png
15,Wilone O'Kielt,Tempo,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_15.png
16,Sophie Bernard,Tempo,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_16.png
17,Lucas Martin,Yummies,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_17.png
18,Ines Dupont,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_18.png
19,Mehdi Benali,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_19.png
20,Camille Moreau,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_20.png
21,Nina Nguyen,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_21.png
22,Hugo Petit,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_22.png
23,Sarah Lopez,Juices,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_23.png
24,Yanis Garnier,Delish,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_24.png
25,Lena Rossi,Tempo,https://raw.githubusercontent.com/your-org/your-repo/main/assets/people/person_25.png
